POSTED_BY,UNDER_CONSTRUCTION,PROPERTY_AGE,FURNISHED,APARTMENT_TYPE,FACING,NO._OF_ROOMS,BALCONY,POWER_BACKUP,AREA_IN_SQUARE_FT,READY_TO_MOVE,TRANSACTION_TYPE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,FACILITIES
Owner,NO,0-2,YES,RESIDENTIAL,NORTH-WEST,2,YES,NO,1300.236407,YES,RESALE,"Ksfc Layout,Bangalore",12.96991,77.59796,55,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,YES,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1275,YES,RESALE,"Vishweshwara Nagar,Mysore",12.274538,76.644605,51,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,YES,RESIDENTIAL,SOUTH-EAST,2,YES,YES,933.1597222,YES,RESALE,"Jigani,Bangalore",12.778033,77.632191,43,"WATER SUPPLY, LIFT"
Owner,NO,0-2,YES,RESIDENTIAL,NORTH-WEST,2,YES,YES,929.9211427,YES,RESALE,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,62.5,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-2,YES,RESIDENTIAL,NORTH-EAST,2,YES,YES,999.009247,YES,RESALE,"New Town,Kolkata",22.5922,88.484911,60.5,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-WEST,3,YES,YES,1250,YES,RESALE,"South Chittoor,Kochi",10.03328,76.282571,42,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,YES,RESIDENTIAL,SOUTH-WEST,3,YES,NO,1495.053957,YES,RESALE,"Sodala,Jaipur",26.916347,75.7956,66.5,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,YES,RESIDENTIAL,SOUTH-EAST,3,YES,YES,1181.012946,YES,RESALE,"Kharar,Mohali",30.74,76.65,52,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-WEST,2,YES,YES,1040,YES,RESALE,"Bileshivale,Bangalore",13.054202,77.674002,41.6,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,YES,RESIDENTIAL,NORTH-EAST,2,YES,NO,879.1208791,YES,RESALE,"Chromepet,Chennai",12.95161,80.14097,36,"WATER SUPPLY, LIFT, SWIMMING POOL"
